patient_id,sex,population,superpopulation
NA20786,F,TSI,EUR
NA20787,M,TSI,EUR
NA20790,F,TSI,EUR
NA20792,M,TSI,EUR
NA20795,F,TSI,EUR
NA20796,M,TSI,EUR
NA20797,F,TSI,EUR
NA20798,M,TSI,EUR
NA20799,F,TSI,EUR
NA20800,F,TSI,EUR
NA20801,M,TSI,EUR
NA20802,F,TSI,EUR
NA20803,M,TSI,EUR
NA20804,F,TSI,EUR
NA20805,M,TSI,EUR
NA20806,M,TSI,EUR
NA20807,F,TSI,EUR
NA20808,F,TSI,EUR
NA20809,M,TSI,EUR
NA20810,M,TSI,EUR
NA20811,M,TSI,EUR
NA20812,M,TSI,EUR
NA20813,F,TSI,EUR
NA20814,M,TSI,EUR
NA20815,M,TSI,EUR
NA20818,F,TSI,EUR
NA20819,F,TSI,EUR
NA20821,F,TSI,EUR
NA20822,F,TSI,EUR
NA20826,F,TSI,EUR
NA20827,M,TSI,EUR
NA20828,F,TSI,EUR
NA20832,F,TSI,EUR
NA20845,M,GIH,SAS
NA20846,M,GIH,SAS
NA20847,F,GIH,SAS
NA20849,F,GIH,SAS
NA20850,M,GIH,SAS
NA20851,F,GIH,SAS
NA20852,M,GIH,SAS
NA20853,F,GIH,SAS
NA20854,F,GIH,SAS
NA20856,F,GIH,SAS
NA20858,M,GIH,SAS
NA20859,F,GIH,SAS
NA20861,M,GIH,SAS
NA20862,F,GIH,SAS
NA20863,M,GIH,SAS
NA20864,M,GIH,SAS
NA20866,M,GIH,SAS
NA20867,M,GIH,SAS
NA20868,F,GIH,SAS
NA20869,F,GIH,SAS
NA20870,M,GIH,SAS
NA20872,F,GIH,SAS
NA20874,F,GIH,SAS
NA20875,F,GIH,SAS
NA20876,F,GIH,SAS
NA20877,F,GIH,SAS
NA20878,F,GIH,SAS
NA20881,F,GIH,SAS
NA20882,F,GIH,SAS
NA20884,M,GIH,SAS
NA20885,M,GIH,SAS
NA20886,F,GIH,SAS
NA20887,M,GIH,SAS
NA20888,F,GIH,SAS
NA20889,M,GIH,SAS
NA20890,M,GIH,SAS
NA20891,M,GIH,SAS
NA20892,F,GIH,SAS
NA20894,F,GIH,SAS
NA20895,M,GIH,SAS
NA20896,F,GIH,SAS
NA20897,M,GIH,SAS
NA20899,F,GIH,SAS
NA20900,F,GIH,SAS
NA20901,M,GIH,SAS
NA20902,F,GIH,SAS
NA20903,M,GIH,SAS
NA20904,M,GIH,SAS
NA20905,M,GIH,SAS
NA20906,F,GIH,SAS
NA20908,F,GIH,SAS
NA20910,F,GIH,SAS
NA20911,M,GIH,SAS
NA21086,F,GIH,SAS
NA21087,M,GIH,SAS
NA21088,F,GIH,SAS
NA21089,F,GIH,SAS
NA21090,M,GIH,SAS
NA21091,M,GIH,SAS
NA21092,M,GIH,SAS
NA21093,M,GIH,SAS
NA21094,M,GIH,SAS
NA21095,M,GIH,SAS
NA21097,F,GIH,SAS
NA21098,M,GIH,SAS
NA21099,M,GIH,SAS
NA21100,M,GIH,SAS
NA21101,F,GIH,SAS
NA21102,F,GIH,SAS
NA21103,F,GIH,SAS
NA21104,M,GIH,SAS
NA21105,M,GIH,SAS
NA21106,F,GIH,SAS
NA21107,M,GIH,SAS
NA21108,F,GIH,SAS
NA21109,M,GIH,SAS
NA21110,F,GIH,SAS
NA21111,M,GIH,SAS
NA21112,M,GIH,SAS
NA21113,M,GIH,SAS
NA21114,M,GIH,SAS
NA21115,M,GIH,SAS
NA21116,M,GIH,SAS
NA21117,M,GIH,SAS
NA21118,M,GIH,SAS
NA21119,M,GIH,SAS
NA21120,F,GIH,SAS
NA21122,F,GIH,SAS
NA21123,M,GIH,SAS
NA21124,M,GIH,SAS
NA21125,F,GIH,SAS
NA21126,M,GIH,SAS
NA21127,M,GIH,SAS
NA21128,M,GIH,SAS
NA21129,M,GIH,SAS
NA21130,M,GIH,SAS
NA21133,M,GIH,SAS
NA21135,M,GIH,SAS
NA21137,F,GIH,SAS
NA21141,F,GIH,SAS
NA21142,F,GIH,SAS
NA21143,F,GIH,SAS
NA21144,F,GIH,SAS
