patient_id,sex,population,superpopulation
HG02120,M,KHV,EAS
HG02121,F,KHV,EAS
HG02122,M,KHV,EAS
HG02126,F,KHV,EAS
HG02127,F,KHV,EAS
HG02128,M,KHV,EAS
HG02129,M,KHV,EAS
HG02130,F,KHV,EAS
HG02131,M,KHV,EAS
HG02132,M,KHV,EAS
HG02133,F,KHV,EAS
HG02134,M,KHV,EAS
HG02135,M,KHV,EAS
HG02136,F,KHV,EAS
HG02137,M,KHV,EAS
HG02138,M,KHV,EAS
HG02139,F,KHV,EAS
HG02140,F,KHV,EAS
HG02141,M,KHV,EAS
HG02142,F,KHV,EAS
HG02143,M,ACB,AFR
HG02144,F,ACB,AFR
HG02145,M,ACB,AFR
HG02146,M,PEL,AMR
HG02147,F,PEL,AMR
HG02148,F,PEL,AMR
HG02150,M,PEL,AMR
HG02151,F,CDX,EAS
HG02152,F,CDX,EAS
HG02153,F,CDX,EAS
HG02154,F,CDX,EAS
HG02155,F,CDX,EAS
HG02156,F,CDX,EAS
HG02164,F,CDX,EAS
HG02165,F,CDX,EAS
HG02166,F,CDX,EAS
HG02178,F,CDX,EAS
HG02179,F,CDX,EAS
HG02180,F,CDX,EAS
HG02181,F,CDX,EAS
HG02182,F,CDX,EAS
HG02184,F,CDX,EAS
HG02185,F,CDX,EAS
HG02186,F,CDX,EAS
HG02187,F,CDX,EAS
HG02188,F,CDX,EAS
HG02190,F,CDX,EAS
HG02215,F,GBR,EUR
HG02219,M,IBS,EUR
HG02220,F,IBS,EUR
HG02221,M,IBS,EUR
HG02222,F,IBS,EUR
HG02223,F,IBS,EUR
HG02224,M,IBS,EUR
HG02225,F,IBS,EUR
HG02229,F,IBS,EUR
HG02230,F,IBS,EUR
HG02231,M,IBS,EUR
HG02232,F,IBS,EUR
HG02233,M,IBS,EUR
HG02234,M,IBS,EUR
HG02235,F,IBS,EUR
HG02236,M,IBS,EUR
HG02237,F,IBS,EUR
HG02238,M,IBS,EUR
HG02239,F,IBS,EUR
HG02240,F,IBS,EUR
